org.thoughtcrime.securesms#30006:	  Can't use it with pushbullet. 
org.thoughtcrime.securesms#33135:	   I haven't run across any of my contacts with the app. Maybe more aggressive advertising. I like the idea of the possibility of encrypted messaging. I most dislike giving to create groups. If this app can be streamlines to operate similar to the traditional apps in respect to sending to more than one recipient that would really upgrade the usability. 
org.thoughtcrime.securesms#33149:	   The ONLY problem I have with Signal is its enormous background battery drain. My battery lasts only half as long if I don't close Signal from the tasks page after every use (text, call, etc.). 
org.thoughtcrime.securesms#33164:	   Web addresses doesn't open when clicked and there is no option to go from the message to the contact who send it. Doesn't work without data network when you can usually send ordinary SMS without any problem without data network. Also can't share/send pictures directly from the Galery. 
org.thoughtcrime.securesms#33165:	   My only whine is that it doesn't get Facebook im. 
org.thoughtcrime.securesms#33172:	   despite some missing features compared to the big messengers and a few bugs and rough edges, it's still the only viable crypto messenger with open source code, e2e cryptography, perfect forward security, even trying to protect against censorship 
org.thoughtcrime.securesms#33175:	   I like the way it works, and the company philosophy. Would be nice to have an active icon that shows the number of unread messages, but that's a very small issue. 
org.thoughtcrime.securesms#33176:	  Was awesome until I realised this was causing me to NOT receive important security SMS messages. I have two-factor authentication for many accounts, and with Signal installed, I don't receive text messages from the providers. I have to send a SMS from another phone first, then request another code for Signal, and this stupid "hack" fixes the issue for a few minutes. After that, it stops receiving SMS from providers again. I have a Mi Fit that vibrates when I receive an SMS. It confirms that a SMS has arrived since it vibrates immediately when I request a cod, but nothing on Signal. This is a GLARING bug. What use is security if you can't use the app at all. :( 
org.thoughtcrime.securesms#33181:	   Highly recommended - everyone should use this. New black theme is awesome. Please provide further style options (e.g. disable displaying contact pictures - many people don't use these). 
org.thoughtcrime.securesms#33182:	   Designed really well as a pure sms app. The fact that it also provide secure chat is a great bonus. Had dome issues receiving an mms but not important to me. 
org.thoughtcrime.securesms#33189:	   Also having issue receiving notifications on most recent version. Running 7.1.1 and app also requests unlock password on launch, only after unlocking does the notification get pushed through along with any new messages. Best messaging app out there other than this recent bug! 
org.thoughtcrime.securesms#33216:	   Warning! Signal crashed when i tried to find contact while writing sms and purged my call log and all contacts! I had to revert to my 3 years old backup. Backup your contacts! 
org.thoughtcrime.securesms#33220:	   I ma not sure about security but otherwise the app works well for instant messenger. Voice calls don't work well 
org.thoughtcrime.securesms#33231:	   This app overall has all the basics of a solid texting app like Textra with the added benefit of encryption. However it's in the little details where it lacks and has bugged me enough to switch back to Textra. I tried listing all the little annoyances but ran out of room. Each annoyance is small but adds up to a frustrating experience. Once these little details are sorted out I'd love to come back and use this as my main texting app. 
org.thoughtcrime.securesms#33234:	   I have only been using it for a few days but so far it has been pretty good. The only thing that I have had an issue with was that I am unable to use other 3rd party apps like MightyText to be able to send texts from my PC and the Signal Web app only works between two people that have Signal already installed 
org.thoughtcrime.securesms#33237:	   Loved it and used it on all my devices, but it stopped notifying me of incoming messages anymore unless I manually open the app. Fix please 
org.thoughtcrime.securesms#33245:	   Fully encrypted, free, doesn't register as a text on your bill. 
org.thoughtcrime.securesms#33246:	  This app is the absolutely first app I have had not one single problem with, it is user friendly, simple and yet secure. The developers of this app got it right on . I have a my friends using it as well. 
org.thoughtcrime.securesms#33249:	   I would give it a 5 but it crashed once, forcing me to reinstall. Was a huge pain to lose all my conversations. 
org.thoughtcrime.securesms#33251:	   Want Marlinspike's encryption but without all the social media hoopla? This is the app for you. Easy to set up and register security fingerprints with the only the people you really wanna securely chat with. no annoying, hundreds of "so in so is using us! say hi to them" or "go bug all your friends in your contact list to use this app!" type stuff. 
org.thoughtcrime.securesms#33252:	   It's a great app, and I love the privacy aspect. Two issues that keep it at 4 stars: (1) you cannot spontaneously text multiple people, you must create a group first, and (2) under heavy load the keyboard stutters and you have to click again to type; never had that with the built-in messaging app. (Used on Droid Mini) 
org.thoughtcrime.securesms#33257:	  Overall a great messaging app - though has some bugs 
org.thoughtcrime.securesms#33261:	   This is one of the best texting app on the market. Never had any issues receiving /receiving texts 
org.thoughtcrime.securesms#33263:	  Seems to be very interesting, but sadly it doesn't work with MIUI 8.0 I'll definitely update my review if I'm able to use it in the future. 
org.thoughtcrime.securesms#33281:	  I can't get along without this program. 
org.thoughtcrime.securesms#33294:	  Clunky and when friend got new phone # i deleted old one and saved new # in phone. However when try to call keeps reverting back to old number. The old contact # keeps coming back into list. Now have 2 numbers for this person and can't get rid of old number. Pretty pathetic. 
org.thoughtcrime.securesms#33303:	   Does everything it claims to, and for free. Been using it for some time without issue 
org.thoughtcrime.securesms#33313:	  Just doesn't get any better than this! 
org.thoughtcrime.securesms#33317:	   very late to update??? very Very slow and poor Too much time late to Download video?(Iran and Indonesia) I have Galaxy note 4 Android 6.0.1 Internet 4G LTE Please use.... The encrypted combination 3072bit or 4096bit RSA and 384bit or 512bit SHA for maximum security. All messages are deleted from the server after delivery. Thanks fixed and update 
org.thoughtcrime.securesms#33337:	  Usable, but many bugs 
org.thoughtcrime.securesms#33351:	   I was impressed at how easy it is to use. So much so I still wonder if it really encrypts text and especially voice as it says it does. I know it does but so seemless... Not used to tech being so smooth lol. The call quality is top, no lag. And I used it across the Atlantic 
org.thoughtcrime.securesms#33352:	   Still a few stability issues on an Android Nexus 6, e.g. sometimes trying to call someone leads to the UI remaining half empty. It seems to happen when two people call each other at the same time. But it's not a bad issue. I can recover by killing the process. I also *really* wish there was a better way to transition when I need to factory reset my device; e.g. encrypted message backup and/or some transition key to cryptographically secure one's intent to reinstall or move to a different device. 
org.thoughtcrime.securesms#33353:	   My only issue is that not all my messages are received if a person is not using this app. It doesn't seem compatible with all Messaging apps. 
org.thoughtcrime.securesms#33361:	   Cant verify phone number. No sms code, no call. Fix it! 
org.thoughtcrime.securesms#33362:	   It seems like each of my friends is on a different app. I love that signal replaces my sms, so it doesn't seem like yet another damned messenger. The problem is that if signal isn't open in memory, it won't notify the recipient of a message. 
org.thoughtcrime.securesms#33371:	   Had some problems before but its good now 
org.thoughtcrime.securesms#33375:	   Great app. It's stable and has never crashed or hung up. I love that it's open source. It has easily and quickly become my preferred mms/sms application. 
org.thoughtcrime.securesms#33376:	   Never had a single issue using Signal, though a majority of my messaging is standard SMS unfortunately. 
org.thoughtcrime.securesms#33386:	   Would love to use the app, but registration keeps on failing at the last step (failed to connect to server.) Tried everything I could think of, but problem persist. Any advice? 
org.thoughtcrime.securesms#33396:	  The application is light. It's a good alternative for Hangout. It is encrypted. The application need some serious improvement for SMS/MMS animated gif/large image. It's ridiculous that I can't send a regular gif through SMS/MMS but I can do it on any other messenger. Its hard to use the app for all conversations because MMS does not work properly as it is limited. PLEASE FIX AND REMOVE THE MMS LIMIT. ONCE FIXED 5/5 
org.thoughtcrime.securesms#33400:	   The notifications dont work quite right. I dont see anything on my lock screen or notification bar. No sound either. Just a quick vibration. I went in the settings and made sure everything is good. Galaxy note 4. Fix this and ill give 5 stars. 
org.thoughtcrime.securesms#33406:	   Love this app. My only single problem is that I don't understand why image quality is scaled down to send. If you could change it to allow sending of the full size file/picture I will definitely give 5 stars! 
org.thoughtcrime.securesms#33408:	   Still cannot receive MMS. Phone won't download, keep receiving error and unable to receive pictures. App is up to date, but there seems to be no fix. 
org.thoughtcrime.securesms#33418:	   Only bummer is when others don't use it as well. Solid texting tool. It is as advertised. 
org.thoughtcrime.securesms#33464:	   Only problem I'm having is if I have another app or window open, it doesn't alert that I have a text message. I have to open signal in order to get any kind of notification. Fix that and you get five stars. 
org.thoughtcrime.securesms#33470:	   Does everything it's supposed to do. And does it seamlessly and without any issues, delays, or intrusion. Simply awesome. 
org.thoughtcrime.securesms#33479:	   The first thing I do when I upgrade my phone is get Signal - never any weird problems for me. Simple; I see 1 mark if sent then 2 check marks showing me that it's been read. And decent notifications; my quiet "Ding" AND small blue flashing LED lets me be aware (LG Stylo2.) GREAT app! 
org.thoughtcrime.securesms#33488:	   Good but when are you going to fix the invite friends double contacts bug? When having WhatsApp contacts you see them as double entries in the invite list. 
org.thoughtcrime.securesms#33489:	   Simple to use and doesn't get in the way. I can recommend it to my nontechnical friends without having to worry about them getting frustrated with it. 
org.thoughtcrime.securesms#33497:	   Simple easy to use, but has lagging issues delivering and receiving texts. I also wish I could adjust the font size. S4 KK444 Rooted AT&T ROM 
org.thoughtcrime.securesms#33522:	   Seemed like a great app, but impractical to use because you have to "wake it up" first before it delivers messages. Gave the update a try - same problem. 
org.thoughtcrime.securesms#33526:	   I used to love this third party alternative to the less-than-stellar Android or Samsung messaging default until I realized people weren't getting my texts. Coworkers and private relationships have been tarnished because the texts I sent out never reached the intended recipient! This may be a sleek, fast and aesthetically-pleasing app but when it doesn't do it's primary job, there's no excuse for that. I'm not the only one who has had this issue with the app, from people on different carriers (I'm on Sprint) 
org.thoughtcrime.securesms#33533:	   Handful of people for which I consistently have issues receiving messages, but great and secure for 95% 
org.thoughtcrime.securesms#33535:	   Hi I tried to register through my WiFi connection and Vodafone network giving me same error that I can't and to check my firewall settings 
org.thoughtcrime.securesms#33536:	  Best messenger app and it enables secure messaging at the same time. I also love the voice messaging feature. I tried it about a year ago previously, and it didn't work that great. This time, everything has worked perfectly. 
org.thoughtcrime.securesms#33541:	   I loved the layout and customization of the app and especially loved the fact that my private messages were, in fact, private. However, I had to switch back to my default messenger app, because too many of my messages were failing to send, I couldn't participate in group texts, the app would close when it was supposed to just minimize, and I couldn't send multimedia messages. Very unreliable. 
org.thoughtcrime.securesms#33546:	   Seamlessly replaces your default texting application while protecting your privacy, But once you transfer your conversations into the app, there isn't a way to get them back out. It also limits each message to 160 characters and splits messages longer than that into pieces. Fails to download images sometimes. 
org.thoughtcrime.securesms#33547:	   It's always telling me network failed every time I try to make a voice call 
org.thoughtcrime.securesms#33550:	   I used to love it, but as of a couple of days ago, the app went haywire and locked my phone up. Wouldn't let you reply or send text. Keyboard wouldn't work anymore, had to switch back to the standard messenger on my Moto Z Force. Locked keyboard on screen forcing me to restart my phone. Once the bug is fixed, I will use the app again. 
org.thoughtcrime.securesms#33552:	   Also Cannot register in India, may be some kind of block by internet provider. Trust is very thin due to these factors. 
org.thoughtcrime.securesms#33554:	  Problems loading pictures. Doesn't work on certain WiFi networks. 
org.thoughtcrime.securesms#33558:	   Is a great option to be used as an sms app. But has the issue of some messages getting sent/delivered late. 
org.thoughtcrime.securesms#33560:	  Clean and simple but sms not working is other person having signal is off network... 
org.thoughtcrime.securesms#33581:	   Good app but make sure you have App Optimisation turned off for it otherwise notifications don't work. 
org.thoughtcrime.securesms#33593:	   Signal to Signal messaging is sorely lacking. A few days after my friend got signal, message delivery times went way up (sometimes several hours.) disabling Signal messaging fixed this. Would be 5 stars if not for the services delivery issues. 
org.thoughtcrime.securesms#33598:	   Searching within the application is not working properly yet 
org.thoughtcrime.securesms#33613:	   I tried to sign up but no use , it's blocked completely in Oman. 
org.thoughtcrime.securesms#33617:	   the calls is not working for me only chat 
org.thoughtcrime.securesms#33622:	  Great but a few bugs 
org.thoughtcrime.securesms#33644:	   The best program ever for messages and sms there is nothing so professional and all is free and cryptic fast never any problem such a good service thankyoy signal and it's creators. Susanna org reg 
org.thoughtcrime.securesms#33654:	  Please Help!!!!! it says connectivity error. signal was unable to connect to the server 
org.thoughtcrime.securesms#33679:	   Does a respectable job of providing all the functions of the other messenger apps, but without the privacy issues. Definitely recommended. 
org.thoughtcrime.securesms#33680:	   This is easy to set up and use. And you can use the chrome app on your desktop, even if your phone is off. That's a lot better than WhatsApp. And it doesn't use your information in any way. 
org.thoughtcrime.securesms#33688:	   Always failed during register. Got message saying unable to connect to server. Tried tens of attempts. Please make it work to register. 
org.thoughtcrime.securesms#33691:	   Not sure but occasionally swipe writing does not go smoothly. Only the first letter of the word shows. If you tap on the letter, the rest of the word shows up. Can't reliably replicate the error. Maybe something I am doing. Otherwise, a great app. 
org.thoughtcrime.securesms#33712:	   The primary reason to use this app is for the security and peace of mind that comes with it. Even if you aren't downloading this app for the security factor, you'll still be pleasantly surprised with how simple and elegant this messenger is. Signal gets a perfect score from me! 
org.thoughtcrime.securesms#33717:	  It looks great, works well, and the encryption scheme is outstanding. FYI: it uses data rather than SMS to send messages. Per their blog, they could not get the level of security they needed using SMS so they switched. It's a very small amount of data, but that could be a deal breaker for some people. 
org.thoughtcrime.securesms#33720:	   Easy to set up and use. Texts from other signal and regular sms are not shown for days. Bad quality of phone calls. Update: previously messages were delayed up to several days, now they don't arrive at all. I do like the program in itself, but it fails at its core function 
org.thoughtcrime.securesms#33729:	   What else you can ask for. Whatsapp and IMessage are not trustworthy enough because they are not open source. 
org.thoughtcrime.securesms#33730:	   Tried with mobile data, wifi, none of the options worked, but I have perfect network in every other app, and there is no firewall or anything blocking the connection.. After clearing google play services cache and data it succeeded but at least the app should give a hint because it is a common bug and would be nice to have as a suggestion rather than me have to search for it. Other than this the app itself is really useful and well done. Cheers, Balint from Tresorit 
org.thoughtcrime.securesms#33745:	   I use an Android phone and that is completely secure, including not being able to screenshot messages. HOWEVER, if you message someone with an iPhone they can save and screenshot the messages all day long. I've got screenshots of texts within the signal app from an iPhone sent to me. Garbage!!! Fix that, I fix my rating. 
org.thoughtcrime.securesms#33747:	   Every security source I can find cannot find anything wrong with this process... Whether it be the legal battles they fight or the implimitation of the program... Thank you for truly thinking about the users privacy. 
org.thoughtcrime.securesms#33751:	   Due to the colors in the received messages, I have problems reading them. 
org.thoughtcrime.securesms#33756:	   Hard to run a business when half my messages come in saying this instead of actually receiving anything. Fix this and I'll give a better rating. 
org.thoughtcrime.securesms#33772:	   I have eeported this issue Three times since signal and it still hasn't been fixed 
org.thoughtcrime.securesms#33801:	   New update fixed all my issues on nexus 6P 
org.thoughtcrime.securesms#33808:	   Love the encryption, surprised by all the permissions needed, and I don't like how my notifications are so random. Most of the time, I only get them when I open the App. That is a problem as some of them have been time-critical and I can't sit opening the app constantly. 
org.thoughtcrime.securesms#33826:	   Doesn't work 
org.thoughtcrime.securesms#33833:	   It's a great app to stay in touch with family and friends, and encryption is transparent. But voice calls are difficult up to impossible to follow, as volume is too low. Will give 5 stars once this is fixed. 
org.thoughtcrime.securesms#33835:	   Frequently you do not get your messages in the due time and/or do not get notifications at all. If you open the app, then suddenly you receive all pending messages (yes, I allowed the app to notify me on every message I receive). This happens with all my contacts that use Signal. It would be interesting to send standard sms when the phone is not connected to the Internet, specially when you use Signal as your default sms/mms app. Nevertheless, it is an app with lots of potential. 
org.thoughtcrime.securesms#33838:	   Love it, most of the time. I compared my installation on G5 Nougat against another user on older Android and mine is missing the Manual MMS settings in the menu. I fear this is why I have consistent difficulties in receiving group MMS. Very frustrating. I have reset the app, reset my APN, and this issue persists. I love the secure message features like setting msg expirations. 
org.thoughtcrime.securesms#33859:	   Android 7.1.1. The recent blocking issue, and your rapid response is highly appreciated and commendable. Thank you. It just keeps evolving and is a primary tool for myself and my colleagues. 
org.thoughtcrime.securesms#33870:	   Does not consistently send/receive messages often just fails. This app is not using the new app security model, meaning it needs a ton of access and cannot reliably have access to things such as location revoked without potentially breaking core functionality. The developer has added sticker support than modernizing the application for the Android users. Fluff features such as stickers should come after basic update functionality. 
org.thoughtcrime.securesms#33874:	   Replaced without a problem the default sms 
org.thoughtcrime.securesms#33883:	   Especially for students who are challenged with publicity/paparazzi issues .. and those whose people would kill them if they knew. Sometimes, these are the same people. 
org.thoughtcrime.securesms#33884:	   Also have people I'm sending messages to getting an error that my number has changed (or something like that, but nothing has changed). Overkill for day to day communication and not worth it if my messages aren't going through. 
org.thoughtcrime.securesms#33902:	  Codicil fixity fit dickey focused bobbing custard hi hiccough fidgeted 
org.thoughtcrime.securesms#33903:	   Does the job: works well and I haven't had any problems 
org.thoughtcrime.securesms#33906:	   Not a single problem so far. Obviously, you'll need to disable GVoice integration if you use your carrier # for GVoice. 
org.thoughtcrime.securesms#33928:	   I am now bout to give up on using it encrypted to an iPhone. Plus discovered a picture from iPhone contact being attached to another conversation. TOTALLY UNACCEPTABLE. HELP. HOPEFULLY JUST MINE.IF NOT FIXED MY RATING DROPS. Love the generic encryption but wish it had more help in its use, especially the IOS Apple version has NO RESET. STRONGLY Suggest SETTINGS include a feedback option and a HELP system. I use Samsung Galaxy S5 and have no problem texting an iPhone. But Iphone owners need help badly. 
org.thoughtcrime.securesms#33938:	   This is a secure, fast and light texting app. The delivery reports are not working correctly on Verizon SMS and just return with an error that every message was not sent (although they are sent fine). Will upgrade to 5 when and if that is corrected. 
org.thoughtcrime.securesms#33950:	   This works as a standalone replacement for the SMS app on Android. I can even switch back to the built in SMS app without a problem. My requests: 1) add an archive feature, 2) include better default copy when inviting friends to Signal. Almost everyone thought it was spam. 
org.thoughtcrime.securesms#33951:	   MMS is not working on the new version. It worked for me before. On HTC One with CyanogenMod 10. Will update review when fixed. 
org.thoughtcrime.securesms#33960:	   I got the SMS with the code but the app says "SMS verification failed". I did not see any field to put it in. I guess the app is not allowed to read the SMS. The whole point of this app is privacy. Let me type it in myself. 
org.thoughtcrime.securesms#33962:	   This app is now my go to. I've used previous versions and have always gone back to Google messenger because I preferred the aesthetic, but now I prefer the look and feel of this app. It's buttery smooth with very little bugs, and the reply from the notification window now shows your whole conversation, not just the last message sent to you. On top of that, it has some of the best encryption in the industry (as numerous tech articles will tell you. Although, encrypted conversions use data. 
org.thoughtcrime.securesms#33966:	   Does what it's supposed to do, without crashing or losing messages like some others. You forget you're using an encrypted service which is exactly how it should be! It's also using good open source software that can be trusted, rather than relying on some random app developer for your privacy. Recommended! 
org.thoughtcrime.securesms#33968:	   I've had so many problems with previous messages getting lost in progress or apps being really slow, I use a Galaxy S7 by the way, but Signal delivers (pun intended) in every way possible! Very fast, very pretty display, great quick reply, very reliable, and the security is a good bonus as well. I'd recommend it to everyone for these reasons, I honestly have no real problems with it, maybe it could use more setting options like Textra has, but that's really my only gripe. 
org.thoughtcrime.securesms#33995:	   My wife and I are testing signal out, using it for SMS as well as encrypted messages. Sometimes if one of us has a patchy internet connection then we don't receive messages until the sender connects to Wi-Fi (sometimes hours later). I would like there to be better feedback for the sender in these cases (who is often unaware that the message has not been received) & an easy option to send an (unencrypted) sms if a message does not deliver. Security is important but reliability and transparencyoften more so. 
org.thoughtcrime.securesms#34006:	   It doesn't work between myself and my buddy over in the UK. This app consistently asked if it wants to be my default text messenger. I can not send privately locked messages to my buddy in the UK. Hopefully someone will fill this void because this app is a complete failure 
org.thoughtcrime.securesms#34012:	   It no longer crashes when you receive a multimedia message, but you also can't view them. 
org.thoughtcrime.securesms#34015:	   Couldn't find how to choose through wich sim to send an SMS 
org.thoughtcrime.securesms#34018:	   After one hour of trying I gave up! After getting the sms code, when it has to verify it, I get a shitty error with "connectivity error" and "no network", even if both are OK and working!  Just tried again today! Same problems! Not working due to some "network error"! Tried both WiFi and mobile network! Still same problem today, 19 Dec 2016! Shame! 
org.thoughtcrime.securesms#34022:	  Great app. Only problem is I'm not able to send a message to a number of recipients. Can this be sorted out? 
org.thoughtcrime.securesms#34031:	  Must not be compatible with my android phone because the "security " text sending isn't available. Deleted app because I believe it doesn't work. 
org.thoughtcrime.securesms#34034:	   Issues when user changes devices, i get "bad encrypted message". Understandable if another party may be change devices using same id. But rather than blast the feed with same error. Handle it more elegantly. 
org.thoughtcrime.securesms#34037:	  I installed Signal and started receiving strange telephone numbers so I have uninstalled it. I do not think that it does what they say that it does. You can't get help from a person only answers on forum...Sorry that it's not what I thought. Very limited. 
org.thoughtcrime.securesms#34045:	   only real problem is the same for all the other similar apps. To use all the features you need the other users to also have this app. Makes for a good SMS app. 
org.thoughtcrime.securesms#34051:	   Pretty good app, I like the security features but I am receiving duplicate text messages, sometimes days apart. After troubleshooting, it isn't my carrier but the app itself. Hopefully this minor bug gets sorted out. 
org.thoughtcrime.securesms#34078:	   I love how it seamlessly replaces your default messaging app and comes bundled with automatic end to end encryption without any setup. The only downside is that more people don't use it! 
org.thoughtcrime.securesms#34105:	   Great app for privacy but it occasionally misses a message or 2 from unsecured contacts and those messages get delivered to the default messaging app. Fix that and it's 5 stars all day. 
org.thoughtcrime.securesms#34124:	   I love this and appreciate that Whisper developed this app so people can send texts securely. I do have one question though, am I doing something wrong or are pinger numbers not supported? I can send texts through pinger and receive calls, but I cannot send the texts with that number through signal. In fact I had to use the call verification because the SMS didn't work when I went in and attached my pinger number to Signal. Love the app though great job guys and gals. 
org.thoughtcrime.securesms#34175:	   I can't even get this piece of crap to ever let me log-in! And I haven't been able to get any tech support for several months now. It can't get any lousier or more worthless than that! Its interface looks impressive, but if it won't let you ever log-in, and you can never get any help or tech support, then it is totally worthless. 
org.thoughtcrime.securesms#34198:	   I find the text just perfect but they added stickers and gifs which I was very excited about but nearly all of them give me an error that they are to big to send... So what is the point of adding that option if you can't actually send them? Am I missing something? 
org.thoughtcrime.securesms#34218:	   Everything works as expected but every now and then a message will not go through. If that gets fixed I will change rating to 5 stars. 
org.thoughtcrime.securesms#34221:	    on wifi without cell service. So I don't get signal at my house. Which is why I want to text through wifi on my number. Worked while I was in signal, but as soon as I lost service it stopped working. Can't attach the gifs offered says thier too big. Customize options are lacking. There are plenty of other apps that have better features. If it text over my wifi with my number it have got a higher rating. 
org.thoughtcrime.securesms#34234:	   If possible I would like myself to decide whether to appear in notification panel or not. Could you fixed please 
org.thoughtcrime.securesms#34242:	   App is ok. Great for security and encryption, but lacking in emoji support and scheduling texts. Also has issues with MMS support. 
org.thoughtcrime.securesms#34260:	   Does what it claims, and I like that they have been independently audited to ensure security. Minus one star because the pop-up message feature is buggy on my Nexus 6p and sometimes doesn't register input 
org.thoughtcrime.securesms#34266:	  Good stuff. But remember to manually export your messages from within the app, if doing (eg) ROM flashing which requires wiping your phone. Signal doesn't use the Android system messages DB, so a normal ADB Backup won't save them. I learnt this the hard way and lost a couple of hundred messages! This also applies when switching back to another SMS app. Any SMS you sent using Signal won't be imported back into the system messages DB, so if you need them, you'll have to manually export/import them. 
org.thoughtcrime.securesms#34268:	   Doesn't get any better than this! 
org.thoughtcrime.securesms#34292:	   Works well. Very few bugs 
org.thoughtcrime.securesms#34302:	  The only major problem i have is that it messes up picture messages for me 
org.thoughtcrime.securesms#34304:	  I looked at the encryption code for every contact I messaged, and the code is the same even when I reset it... don't use this app 
org.thoughtcrime.securesms#34314:	   I get many random dropped calls on my Nexus 5x on a good connection. Then the app seems to crash after this happens and i can't make more calls. Also, it will sometimes lose a message draft for seemingly no reason. 
org.thoughtcrime.securesms#34323:	   Works and is from what I can tell the most secure option. Would be great if it didn't use my contacts to build a network. Privacy consists of more than just securing the contents of communication. 
org.thoughtcrime.securesms#34324:	   Simple and secure messaging, great! Only issue i encountered so far is that one friend of mine (iphone) won't get my signal msgs on her text app with mobile data disabled, only once shes back online - slightly anoying as it makes me switch messaging apps just to be able to text her. Any chance to solve this? 
org.thoughtcrime.securesms#34326:	   . Only issue I have found is that photos take a bit long to upload blue. 
org.thoughtcrime.securesms#34349:	   Texts and links oK bur fails to send pics or I would give it 5 stars. 
org.thoughtcrime.securesms#34351:	   I receive messages from others but when I try and send messages I get a notification that says message not sent and that an issue needs addressed but it doesnt tell me what the issue is. 
org.thoughtcrime.securesms#34353:	   Edit: was a fine App until it stopped working entirely for SMS. - - - old review: End to end encryption everywhere should be a Standard. I wish gifs would work in Signal-to-Signal chats. 
org.thoughtcrime.securesms#34357:	  Keeps reopening sometimes, please fix other than that great progress 
org.thoughtcrime.securesms#34360:	   Great amazing app.. Only draw back is it lacks a private box, scheduled messaging, a favourites tab, & resending failed text by simply tapping on it on notification bar. Improve on customization for individual contact messages, like whether to show message or just contact name on notification bar, customization for individual message bubbles, & the pop up, whether pop up for individual messages automatically closes or remains open after replying, automatic or no keyboard for individual message pop ups. 
org.thoughtcrime.securesms#34378:	   I like the idea and encryption but I don't get notifications from other signal users. Their messages only show up when I open the app, so I never get them on time. Regular texts work fine, but that's not what I need it for. So unfortunately useless for me at the moment. 
org.thoughtcrime.securesms#34379:	   So I was content with the app for a while and then started noticing that it was taking hours for messages to come through. This after using the original messaging app that comes on the S7 without issue. What's the sense of having an encrypted message when it takes four hours to get it. 
org.thoughtcrime.securesms#34388:	   then it's a good app. though during testing it had some slight issues with sound quality, all i can say. Seems like a good app. 
org.thoughtcrime.securesms#34393:	   While "I don't have anyting to hide" I hold our right to privacy and the ever growing illegal infringment on it as one of the most important issues of our time. I wanted to write to your team and say thank you so much for providing this valuable and powerful tool that essentially makes the statement as it should be said.."While I don't have anything to hide it's none of your business what I'm saying or doing!!" Again thank you so much and to the people who put in the many hours writing code thanks. 
org.thoughtcrime.securesms#34411:	   Has bugs just like anything. Not for power users but does what it advertises. 
org.thoughtcrime.securesms#34419:	   Phone call over Bluetooth fails to end the call after it was finished 
org.thoughtcrime.securesms#34431:	   I'm trying to send a message to 8 people, it says "failed to send" and "not delivered" :-/ 
