com.battlelancer.seriesguide#90029:	  Had to reinstall but cant connect to trakt and now i camt access anything pls fix 
com.battlelancer.seriesguide#94028:	   Ok.....sI I'm really not into rating but this app is so great I had to. I've downloaded several apps and they did not deliver. They didn't have a user friendly interface.....they didn't know when the episodes were airi..and there was no way to check off what you had already watched. This app does all that and more! 
com.battlelancer.seriesguide#94037:	   Have this all setup on my tablet and it's great, but just installed to my phone and no sync option to make it the same as on there.... 
com.battlelancer.seriesguide#94072:	   All my earlier complaints seem to be fixed. I've upgraded my rating from 1 star to 4 stars and will upgrade it to 5 stars after it finishes updating and existing is working as before. Asia Nexus 7 tablet running JB 4.2 
com.battlelancer.seriesguide#94079:	   Very handy to keep track of my favorite shows & easy to use. Only problem I've found is the show Merlin is only listed as a UK channel & not US so all the air times are wrong. 
com.battlelancer.seriesguide#94080:	   Stop forgetting airtimes, i can follow airtimes. 
com.battlelancer.seriesguide#94081:	   There's a problem with air dates since all my shows are actually aired the day before that is shown in the app, besides that, it's wonderful. 
com.battlelancer.seriesguide#94084:	   Please fix 
com.battlelancer.seriesguide#94088:	   After the update, when I want to search for new shows, it keeps saying no shows. Please fix. 
com.battlelancer.seriesguide#94112:	   This app is awesome, it does exactly what it says and is bug free :) 
com.battlelancer.seriesguide#94116:	   A lot of missing shows like Only fools and Horses and Allo Allo... Maybe put a report form to send to you name of show from the app...Pls fix and update.. waithing responce. 
com.battlelancer.seriesguide#94124:	   The last update fixed my only remaining issues with the app on my Nexus 7. I love the episode layout. 
com.battlelancer.seriesguide#94143:	   One small issue in the otherwise perfect ui - the upcoming / recent page looks a bit funny on my tablet.. Could make better use of all the screen space like the rest of the app does 
com.battlelancer.seriesguide#94145:	   It's a great app for keeping tabs on shows that I watch. The checkin function for Getglue is quite buggy and needs to be fixed. In most cases, checkin fails and it tells me to log in again. As an avid Getglue user, I find it pretty annoying. 
com.battlelancer.seriesguide#94156:	   I always had problem in keeping track of my favorite series. I have been waiting for an app like this for so long but now it's available and . Thumbs up. A lot of thanks for the developer 
com.battlelancer.seriesguide#94166:	   UI is intuitive for the most part. It's kind of confusing once you've added the shows you want to keep track of. Mainly its a sequential thing, where the steps involved to see the current days programming isn't intuitive. That page should be the default once all the programs are added. But still this is niggling over minor issues.  app. Get it. I've used it every evening since I got it. 
com.battlelancer.seriesguide#94214:	   Love how this app is detecting British shows aswell ! The only downside is I can't remove a TV show from the list, no option why?!!! 
com.battlelancer.seriesguide#94242:	   Widget doesn't work when moved to sd card 
com.battlelancer.seriesguide#94276:	   Used to work better now it fails many times to update shows and to submit seen episodes to trakt 
com.battlelancer.seriesguide#94285:	   This app really helped me solve my problems of keeping up with my favorite shows 
com.battlelancer.seriesguide#94289:	   How do I set it to my timezone it tells me that the shows are on at a much later time than they actually are I figured out how to offset the times problem solved now you get 5 stars 
com.battlelancer.seriesguide#94321:	   The app does what it says it will do. You can see which episodes you need to watch and when the next one is on so you don't forget. However, shows produced outside the UK tell you the American broadcast date and channel, so it would be nice to have full UK support. 
com.battlelancer.seriesguide#94331:	   Didn't work with me 
com.battlelancer.seriesguide#94342:	   Why am i getting package failure error after downloading !! 
com.battlelancer.seriesguide#94361:	   I am not able to watch the videos. It takes me to a different place and asks me to subscribe to a channel i put my id in but still it doesn't work.. Instead it shows me an error msg...  me 
com.battlelancer.seriesguide#94367:	   I have added a list of shows that i like but it shows the first episode. Maybe i'm doing something wrong? I am giving the app 3 star because i like the design and how everything esis placed. If my problem is solved i will gladly give it the 5 star it deserves 
com.battlelancer.seriesguide#94395:	   Use it almost every day! Small bug though: opening from 'upcoming' widget, then clicking the home-as-up button closes the app instead of going to main activity.. 
com.battlelancer.seriesguide#94401:	   Love the new update, layout is definitely better. Only 4 stars because of the freezing issue but not sure if that still happens with the update. 
com.battlelancer.seriesguide#94408:	  Five star if the sync is work plz fix it or add auto backup 
com.battlelancer.seriesguide#94413:	   I am rating it 3 stars due to the issues I've noticed. When adding new shows I get some unknown error adding a show 25% of the time and sometimes have to retry 3-4 times to make it work. 
com.battlelancer.seriesguide#94427:	   Until it stopped working. Erased all of my shows and when asked to do a restore, only added the old outdated.shows back. :( 
