com.fsck.k9#50000:	  Your app will not work on my tcl 5056 n.... Then again I am smart and use a vpn.... Dumb ass 
com.fsck.k9#52055:	   I love this app but recently I have had problems where different emails, html or text will show as blank messages. Sometimes I can quit the app and go back in and it will show the email and sometimes it won't. I have had problems when I am on Wifi or on mobile service. Only common denominator is K9. :( I will change once this gets resolved as I have full cofidence that the will fix the problems with the recent update. 
com.fsck.k9#52056:	  I cant receive mail anymore? Can someone fix this? This is the only school approved app for .edu mail 
com.fsck.k9#52061:	  Cannot access Penn State email since the update. I don't understand why and this needs to be fixed. 
com.fsck.k9#52063:	   3-29-15 Stopped working. Constant notification of a Negative STMP when sending msg. Great app what happen? 
com.fsck.k9#52064:	   Have all the features I need. 1 thing I don't like tho. When retrieving my mails from a IMAP server, the time and date shown is the current time, instead of the time that the mails actually arrived at the server. Hope there is a setting where I can fix this. 
com.fsck.k9#52071:	   I've always loved K9mail. It worked flawlessly until the recent update and now it won't work with my university's server configuration (Penn State). Useless until this gets resolved. : ( 
com.fsck.k9#52073:	   After my purchased Kaiten app broke on 5.1 and continued to have email rendering issues, I tried this free app and it's everything that I used to have, but working better on the latest OS version without the rendering issues of the past. Very satisfied thus far. 
com.fsck.k9#52082:	   A few issues. It appears to stall often on gmail and requires killing and restarting before it will finally pickup mail from the account 
com.fsck.k9#52085:	   It takes up to 4 or 5 minutes to open the body of a simple email! Ever since Galaxys5 Lolipop update its almost unusable. Are you working on a fix? Is there something I can do on my end? Was 5 stars and now 1. Please help. 
com.fsck.k9#52090:	   Have never been able to setup this app. What address is it asking for? No matter what address I enter it won't work. If the app needs a pop3 address why isn't a drop down menu provided since it's the same for everyone using gmail. 
com.fsck.k9#52095:	   Tried logging in with Gmail (why isn't this automated?), get an error message with the plain error message. No formatting. Error States that I need application specific password. So this app cannot handle two factor Auth. Bye. 
com.fsck.k9#52100:	   Latest version makes my phone lag and overheat..pls fix this then I'll give 5 stars..thank you 
com.fsck.k9#52111:	   Get an error during update on Nexus 7. Cannot figure out how to post bug on website. Will rate 5 stars after successful update. 
com.fsck.k9#52115:	   Glitchy, with deleting messages, but a small price to pay...issues on k-@.. are worse... So many email apps.. This one does everything I need it to, for free ,and does it well... And without. Ads.... And compromised security like mymail. Leaves my messages on the server when I delete from the phone... Works soso with cloudprint. I have ten or so email accounts and I can't waste time with buggy crap. As far as I can see, nothing compares to k9. 
com.fsck.k9#52118:	   I have wrote many times but no body pay a interest over this issue 
com.fsck.k9#52120:	  I really liked this app and would have given it a 5 a couple of months ago. However something happened and it Uninstaller itself and when I reinstalled it, I couldn't get my AOL accounts set up again. I keep trying to remove and set them up again without any luck. Hopefully there will be another update that will correct this. 
com.fsck.k9#52133:	   Used to a very solid app for years now it crashes all the time and lots of problems sending mail. Its a shame, something changed with these guys. 
com.fsck.k9#52137:	   I've been using this app flawlessly for the past 2 years for my Penn State webmail account. Then on March 3rd, I suddenly stopped getting mail. Tried uninstalling and reentering settings but it said it couldn't connect. Help please. It might be the update for the OS on my Galaxy s5. 
com.fsck.k9#52139:	   Normally love this app but the new update is horrible. My mail won't load and then says connection error. Also when retrieving mail it just keeps saying it's retrieving but never retrieves anything. Please fix! 
com.fsck.k9#52142:	   The box to the left to check off emails is gone and I can't add my AOL accounts. I get error messages when trying. 
com.fsck.k9#52163:	   I've got it working smoothly--polling and notifications included--with Yahoo, Outlook, and Gmail. The only major glitch is that I can't get it to work with Tesla Unread. Pro Tip: If you're using 2-step verification, don't forget to enter your app-specific password. 
com.fsck.k9#52164:	   Always excellent, and get fixes really fast :-) thank you! 
com.fsck.k9#52167:	   They fixed the server issues and continue to keep it a stable email app. Does everything I need it to. Thanks for making a great app! 
com.fsck.k9#52171:	   Yep. Fixed crashing after updating to 5.2 or something. Back to normal 
com.fsck.k9#52174:	   need spam filtering but was the 1 of the only email clients I could find that allowed you to select all messages and delete them at once. Update: it's a year later and K9 still holds the crown for features, compatibility, and performance. Update: vicious bug with 5.1 Lollipop-selecting a message (or messages) crashes the app! The dog walkers fixed this within a few hours. Wow! 
com.fsck.k9#52179:	   Due to its dark theming option K9 is my goto android email app. Unfortunitely on Android v5.1.0 K9 force closes anytime one or more emails are seleted from the left side list (check box). All other funtionality appear to work. This is true both on my Nexus 10 and 5 now that they run Android v5.1 while K9 did not have any issues with Android v5.0.2, hopefully this will be fixed soon. 
com.fsck.k9#52187:	   Would not authenticate at setup. I no longer waste time with programs/apps that don't work. It's the Programmers job, not mine. 
com.fsck.k9#52189:	   If this doesn't work exactly how you wish it to, then you haven't configured it correctly. Perfect email client for my tablet 
com.fsck.k9#52194:	   It is one of the most convenient mails as for interface and functions. But although I have the latest version stating that it has no longer this bug, the certificate error continues to appear. It does not affect the work of my mail, but still... Waiting for the next update. 
com.fsck.k9#52196:	   The email text is sometime not completely visible instead it is contained in 1 mm high scroll window which makes impossible to read the text. Please fix the issue and get 5 stars. 
com.fsck.k9#52198:	   Used to be able to get aol mail now it will not work with it 
com.fsck.k9#52215:	  It is very good but the sent folder does not sync. 
com.fsck.k9#52219:	   Any time I try and add a new gmail account, it crashes right after checking incoming server settings. Tried reinstalling and now I can't even set up ONE account! 
com.fsck.k9#52222:	   I love it just because it's open source and being actively developed. Didn't face even a single bug. GREAT JOB!!!! 
com.fsck.k9#52226:	   Tried it due to having at least 4 email accounts and want something to wrap it all in one. Just can't find a way to like it. Not sold on the layout and really hate the polling deal for notifications. I've legitimately lost emails when I should have at a certain time. Just can't do it. Probably good for others though. 
com.fsck.k9#52227:	   Worked wonderfully for a long time, then I did an update and it started crashing. Uninstalled it thinking it might need a wipe (cache/dalvik/folder delete) but now it won't even run after install.  on start. Shameful. 
com.fsck.k9#52228:	   Doesn't work with Gmail and 2fa. Requires application specific password. No, thank you. 
com.fsck.k9#52229:	   This was a 5 star app. It's now fairly 3.5 stars but going with 3 because it's definitely not a 4. The app is a battery killer. Not always, but some days I'll pick up my phone and it's abnormally warm and the battery life is unusually low. Then when I check my battery stats K9 is going bonkers every time. Otherwise it's a fine app but I can't afford to have my email app suck my battery dry and leave me without juice. FIX THIS! (Galaxy Note 3) 
com.fsck.k9#52230:	   Can't figure out how to download files larger than say 50K. I get corrupted files. These files open without any problems using "Inbox" or "Gmail". Tried adjusting the settings to 5 Meg push but still doesn't work. 
com.fsck.k9#52231:	   K-9 takes hours to send one picture and one sentance over a 20mbps+ connection. Abuses wakelocks which drains battery. Can't complete simple actions like deleting emails. Any mail you accidentally delete is gone forever because you "can't move or copy messages not synchronized with the server". Blue mail is faster and actually works! Don't waste your time or energy on this p.o.s 
com.fsck.k9#52235:	   i checked my mail throuhh crome and i can see all my msgs but with this app, some mails are missing. pls fix 
com.fsck.k9#52236:	   This app is good for managing your email. One of its strengths is being able to empty your trash in bulk. However one of my issues is that one of my email accounts will not allow me to send. When trying to set up, the application bombs. I end up having to send out another email account because one can not get set up completely. 
com.fsck.k9#52241:	   I used to love this app, now I hate it. With the latest version it freezes constantly and takes forever to load mail folders. It crashes and doesn't remove deleted items from the inbox until I exit and go back into the app. Sometimes only new mail is displayed in the inbox, other times all the mail with no rhyme or reason. Very frustrating since it was much better. 
com.fsck.k9#52243:	   I liked how it used 10mb of memory compared at others in the 30mb range. But it does not download the complete messages or pics. I have to manually tap on download and then wait. Sometimes pics still won't download. 
com.fsck.k9#52246:	   I like the app, but I receive an error message saying "Failed to send some messages" EVERY time I send an email. I then have to go to the Outbox & press the refresh button a couple of times in order for the email to successfully send. This happens every time I send an email. Every time! Btw, you're getting a lot of negative reviews from users. What gives? 
com.fsck.k9#52248:	   This was my go to email client on Android until the recent SSL warning issues. Have uninstalled it and am using stock email for now as it works correctly. Hopefully they fix the SSL issue so it recognizes a valid SSL again. 
com.fsck.k9#52249:	   Issue 1877 is still present - please fix. 
com.fsck.k9#52250:	   Update: Recently, when selecting one mail from the list, the another one opens... Fix it, please. Overall, the best mail app. The welcome addition would be a single notification when checking multiple accounts via unified inbox and swipe to delete in mail lists. Besides, great mail client, keep working :-) 
com.fsck.k9#52254:	   Not a bad app, but it is buggy. I frequently am unable to see my email, just a white box instead of the message. Sometimes playing with the theme settings will fix it but its not worth the hassle every time I want to check my email. 
com.fsck.k9#52259:	   Ever since the last update I'm no longer able to retrieve the last 25 emails from my server. I hope you can fix this. 
com.fsck.k9#52262:	   Used to be good but it can't handle large emails any more. Will they ever fix it? 
com.fsck.k9#52267:	   went over to Gmail for a while, like the newer UI. But it throws huge amounts of data on my limited dinosaur and even with that, is slow. Finally, too many problems with Play services so back to K-9. K-9's two stage downloading is most effective, quick, efficient. UI could use a good update, but as-is, very usable and friendly. 
com.fsck.k9#52275:	   this used to be a pretty good app however now it has issues could not get it to send email and created my account with wrong info. The only way to change it is by deleting the account. Actually I had to delete the app. This really needs to be fixed. Samsung galaxy s4 
com.fsck.k9#52286:	   Search capabilities are terrible. Searches don't load properly the majority of the time. 
com.fsck.k9#52301:	   Since the last few update, all it does is freeze up or crash. This was my go to email app for all my Android devices. Recommended to all family, friends and coworkers. Not anymore. Looking for a good replacement. 
com.fsck.k9#52309:	   Downloads do not work at all. All files are corrupt 
com.fsck.k9#52315:	   Since android 5.0 some emails only display the title and nothing else. Need a proper fix for android 5.0 
com.fsck.k9#52318:	   Sorry guys. I really like your app, but until you fix synchronization problems with yahoo I can only give you 3 stars. 
com.fsck.k9#52326:	   Crashes on Samsung WiFi only. Works great on my husbands S5. Please fix... 
com.fsck.k9#52329:	   I like K9, but I keep coming and going with it. The only real problem is that server side search isn;t working with Yahoo. It works with Gmail however. If this was fixed, I could just delete the rest. Support unread notifications and fully customisable. I'll hold back that last star until Yahoo server side search is working, 
com.fsck.k9#52331:	   Mark as Read from notification doesn't work, also, keeps hanging on Drafts folder. 
com.fsck.k9#52335:	   Much better than stock app. But still will not save to external SD after update to Lollipop 5.0 on S4 GPe. 
com.fsck.k9#52349:	   Certificate error still appears from time to time... Moreover, some of the old mails (from 05.2014) are read every day. It is annoying :/ 
com.fsck.k9#52356:	  Only works 50% of the time, the rest is certificate errors! Been using this app for years now, but it's been a mess ever since the lollipop update, and it doesn't look to be improving! Might have to switch to another app :( 
com.fsck.k9#52357:	   I really like K9 Mail, and bugs are usually solved quickly. Ever since the upgrade to Lollipop on my LG G3 I have the problem that some (quite a high percentage though) emails appear to have no body (except for a tiny, truncated line at the top). I have to rotate my phone to force the screen to redraw, which makes the email render correctly. When I rotate the phone back, the email renders as it is supposed to. If I use the phone sideways, it happens just as well, so I still have to rotate the phone. 
com.fsck.k9#52363:	   5 stars when it works. 1 star if it doesn't work at all. It works great 50% of the time..certificate errors the rest of the time. 
com.fsck.k9#52365:	   Authentication issues! :@ 
com.fsck.k9#52368:	  Like it a lot, but have an issue that sometimes only a small part of the mail is visible in the top section of the window. The mail scrolls though there but is impossible to read. 
com.fsck.k9#52373:	   Would open too many connections to gmail. No easy way to limit the number of connections it opens. Would frequently get errors when getting emails on other devices due to k9mail opening so many connections. 
com.fsck.k9#52378:	  Doesn't work with active exchange 
com.fsck.k9#52379:	   Just about to uninstall, totally not user friendly and no sign of anywhere to mark email as spam so they get routed to the trash , waste of time . Sorry if the facility is there but you should make it easy to find and set up ie 1 click spam reject and remember . 
com.fsck.k9#52380:	   Recent problems with blank email bodies. Downloading attachments can be incredibly slow, even with highest WiFi signal strength, near the router. 
com.fsck.k9#52384:	   1 draw back can't download attachment automatically 
com.fsck.k9#52385:	   Its an android app loaded with customizations for mails but no widget. Pass 
com.fsck.k9#52396:	   As of the latest update, I can no longer send e-mails through an SMTP server that has an unencrypted password logon. K9 sends a 550 error: User is unknown. 
com.fsck.k9#52409:	   I use this on all my phones and tablets. It has been crashing quite a lot lately but it's usually only once a week and works fine after that. 
com.fsck.k9#52411:	   I have been using K9 for years but have recently had some small issues. On occasion all messages show as read but the header still shows 1 unread message. Also id like to put in a feature request for printing. I can share to my HP app but it complains of unknown file type. 
com.fsck.k9#52412:	   Perfect mailer for dealing with non-standard email servers. Tons of options for a nearly every configuration. The only issue I have is in printing via share. Mail with html tags sends as text to the target app. Please add a ''send as Image" or "Pre render" feature. Currently screen capture is the only (unoptimal) work around. 
com.fsck.k9#52413:	   I can't believe I have not reviewed this! I have used it on my GNEX for a couple of years and it was great! I'm having a minor problem with notifications on my S5 but it could be me. 
com.fsck.k9#52414:	   If you separate all the problems caused by particular hardware and Android implementations, you will see that this email client, though not perfect-because there is no such thing- has no equal. With options such as: Local and sync server deletions, Cc/Bcc ,Receipts, Cryptographic options, Message format option, no ads, power, control, and much more. All it needs is for you to learn how to use it. I have been using it for a very long time and have always found work arounds for the unexpected quirks generated by the ware and tear of its use. Kind of feel like the stuff of a serious, powerful mail client that puts you in control doesn't it? That is because it is, and it shows what dedicated people in the open source community are able to do for us. They deserve our admiration. Excellent work. 
com.fsck.k9#52418:	   Before the last update I would have rated this with a 5 star. Now I can only receive emails but not reply or send new ones. Please fix! 
com.fsck.k9#52426:	   I love this app, best interface and features around. However I sometimes get errors "sockettimeoutexception" and it won't send emails. Not sure if it's verizon or host gator where my email server is. 
com.fsck.k9#52429:	   Utter crap, crashes all the time. Don't bother. 
com.fsck.k9#52437:	  Same as previous version. "Certificate error" message appears randomly. Place roll back stable version. 
com.fsck.k9#52439:	   Nexus 7 (2012) using pop. Please fix. Thanks 
com.fsck.k9#52447:	   update solved the attachment issues. one main advantage is that on kitkat it is persistent in the background which gives my mail updates even though it's killed via a app manger. 
com.fsck.k9#52477:	   Since upgrading to lollipop keep getting server certificate errors. Go though the process to refresh and OK for a few hours then error comes back. Very annoying! Seems to be fixed in v5.002 update. 
com.fsck.k9#52483:	   Ever since last update my phone has been seriously lagging, have to restart and remove battery several times a day. Clean master helped me to identify that this is my problem app. I hate to remove it as it had been great until now. I just hope there is an update soon. I can't stand what it's doing to my phone. Please update soon it's killing my phone! 
com.fsck.k9#52484:	   K9 may be the best mailer on android, but that's a low bar, and the main reason I only use the phone or tablet for really urgent stuff. Not having hierarchical folder views is a throwback to the pre Unix days, not made for serious users. Also, K9 frequently hangs until some timeout, taking ages to pull in mail (I don't use push mail). Forcing stop and restarting makes it work normally again (for a while). 
com.fsck.k9#52488:	   Downloaded the app mid-dec 2014 and it works great with my Yahoo mail account. I decided to try K-9 because my android defat email client was REALLY frustrating (deleted emails would suddenly reappear). Never had problems with K-9, and when setting up my account it was able to know the incoming/outgoing yahoo server settings. 
com.fsck.k9#52491:	   Why can't the developer fix a simple but annoying problem? I left K9 in July because of a major problemeleted Emails constantly all come back en masse! It doesn't matter what I do, because every time I delete Emails, whenever new ones arrive, ALL the old deleted ones reappear. I delete them again; they come back again! I've given up on this flawed app. 
com.fsck.k9#52497:	   Bought a new phone tried to install it and cannot find in and outgoing servers. I know it's not me because when I connect it to other services it connects and goes right through. To bad they are not what they use to be. 
com.fsck.k9#52498:	   The 5star is only due to the past. After 5.0update the push email does not work. Are you aware of it? 
com.fsck.k9#52503:	   The app is constantly saying I'm getting errors due to the new Android 5.0.1 update. 
com.fsck.k9#52513:	   Pls fix it. 
com.fsck.k9#52515:	   It's nice enough to use, but it crashes ALL THE TIME. Mainly after deleting messages, but at other times too. 
com.fsck.k9#52517:	   I have been using K9 for a long time but the latest update has caused me to look at other apps. The biggest problem is a failure to auto-scan for new mail. It has to be refreshed manually. 
com.fsck.k9#52528:	   Can't get this to work with 2 step verification on gmail using the app specific password. I might be doing something wrong, but other apps directly support the two step process so l am moving on. 
com.fsck.k9#52530:	   K9 App has worked great for years and suddenly all I get is a "unfortunately k9 mail has stopped working" error message that repeats every few seconds on galaxy s5 that I have to force stop. From reading comments there is obviously a major problem that needs immediate attention 
com.fsck.k9#52531:	   Every 20 to 40 seconds I get the 'K9 mail has stopped working' error. I'll have to uninstall yet again. Even re-installation doesn't help. Too bad, it worked perfectly on my old phones. 
com.fsck.k9#52538:	   I have used k-9 for years until the latest update. Now I get crashes when it trys to retrieve mail. Im exploring alternatives. 
com.fsck.k9#52541:	   Another application that worked brilliantly and was incredibly versatile. but is now broken and so buggy that it's unusable. If you have access to an older version use that. Unlikely that the security compromises will hit you in the older version but certain that the new bugs will make you delete the app altogether. A real pity. Author: Do some basic testing yourself before release. Don't rely on your bug tracker. How did you manage to get such a brilliant app written in the first place with that attitude. Sticking to the older version. 
com.fsck.k9#52543:	   Having issues with deleting emails. App shuts down almost every time, but emails do delete. First time using this app and would rate it much higher if they would resolve the bug. Sent countless reports in, but no one's listening. 
com.fsck.k9#52551:	  Does not work with Office 365 through Exchange protocol 
com.fsck.k9#52555:	   App started force closing (stopping) today. Pls fix! 
com.fsck.k9#52556:	   Use android 4.4.2 on Verizon/Samsung S3. Just started popping up crash window tried everything from clearing cache, data to removal and reinstalling, no change. Symptom, app starts, I could see emails in my in box, 2 seconds then crash pop up displayed. 
com.fsck.k9#52566:	   Does what it should plus some. I love the encryption capabilities so easy with K9 and APG. I have used K9 for some time now and I have no complaints or problems. 
com.fsck.k9#52569:	   ... as it was. Push mail not working proerly. Polling as well. Drains too much battery. Sorry. Uninstalling.... 
com.fsck.k9#52573:	   This was a great email app until it was updated, now "it appears to have stopped working" which is rubbish. Now having to install something different as I need my email. K9 dog walkers, I think the collar snapped and your dog has run away.....just like your customers will. 
com.fsck.k9#52582:	   K9 was the best solution (especially) for people with multiple E-mail accounts both on Android Jellybeans and KitKat versions. I recently upgraded to Lollipop on my Google Nexus 5 and that's when my problems started and only grown since. I perceive a general problem with syncing both whilst sending out and receiving mails. Also I mostly get mails in clusters and that too after rebooting. Some mails, I fear, get lost in transit. URGENT upgrade mandatory to sustain it's utility and thereby retain clientele. 
com.fsck.k9#52583:	  After last update have been getting errors. Uninstalled and reinstalled and still getting errors. 
com.fsck.k9#52584:	   Atatchments do not attach, says they do but they dont, try to set folders for storage and tells me browser not found, its just so buggy, not impressed at all 
com.fsck.k9#52585:	   Buggy, laggy and never loads all new emails. Crashes, freezing, and constant restarts bogging down my Xperia Z1. Sadly have to find a whole new email app. 
com.fsck.k9#52586:	   Every 30 seconds it gives me an error message saying that K9mail has stopped. Even when it's not open. Makes the phone basically unusable. Uninstalling. 
com.fsck.k9#52587:	  Didn't work with exchange 2010 
com.fsck.k9#52589:	   Notifications enabled, but not getting any. 
com.fsck.k9#52591:	   Was great before latest update. Now constantly crashes checking IMAP box with over 125 msgs. Will start looking for a new app. 
com.fsck.k9#52593:	   Frequently fails to send replies. Things sometimes show up in inexplicable order. I like the capabilities and orientation of this mail program, but... on note 3 
com.fsck.k9#52595:	   The interface of this is simple to use but on many emails i get a blank page and a connection error message at the bottom; when i open the same message with another email client, they open fine, so i am uninstalling this. 
com.fsck.k9#52604:	   Use this to st phone email problems 
com.fsck.k9#52614:	   I have been using K9 Mail for years now and it was my favorite but I cannot log into , my own server. Please fix and let me know. I will give it a HI5 
com.fsck.k9#52615:	   No support Ask you not to rate the app bur send a mail and you get NO support App keeps crashing and has made whole phone un useable Have taken app off and cannot re install 
com.fsck.k9#52618:	   I've been through the settings several times and just can not find a way to sync with Outlook. Wish you could add or change folder. 
com.fsck.k9#52626:	   Was great until latest update. Syncing is disabled, seems many have the same issue. 
com.fsck.k9#52630:	   The options on this app are incredible. Beautiful... I have 2 issues though: (1) I still experience issues with server searches on Outlook. The mails that I seek are found, but not displayed. (2) Starred mails should be displayed without being limited by a time frame or the number of mails that I keep on my device. I keep just 25 mails on my device. If a starred mail is the 26th, it is dropped from the starred mail count and not displayed. 
com.fsck.k9#52639:	   Recently it is not syncing my existing (old) emails only new emails 
com.fsck.k9#52641:	   , asks me for certificate errors all the time, huge spike in data usage since last update. Please fix this, app is unusable right now. 
com.fsck.k9#52643:	   I've used this app for years, until the last update. Totally messed up my email, I can no longer use this app for anything. If it ain't broke don't mess with it. Had to uninstall. Fix please. 
com.fsck.k9#52644:	   Got a software update for Lollipop, and I continue to get certificate errors! This is terrible! 
com.fsck.k9#52652:	   I don't know where to start. I was expecting a working open source client and it's not. Threaded view doesn't work, configuration is a nightmare, but the worst is Battery life. I used to get 1.5 to 2 days of moderate usage out of my G2, now I get about 8h tops, without even using it!!! Keeps the cpu awake like a maniac (I'm talking tens of thousands of wakelocks, every day with only 2 barely used imap accounts). It's just not usable. 
com.fsck.k9#52654:	   Lots of great configurable options. Have had only rare issues. Not as good as Gmail but that's a high bar to clear, and this is open source. 
com.fsck.k9#52655:	   It worked for 2 years. Just crashed and will not connect to server to recognize accounts. No gmail, no aol, and besides no reply button in landscape which was very annoying. Get mymail app or bluemail, both considerably better. K-9 is officially an obsolete dinosaur. 
com.fsck.k9#52656:	   I use this app for my Hotmail. ..on Samsung Galaxy Note3. I really really like it....very reliable. The only issue I've had lately is when I have a sent email that fails to Send and go through...due to wrong address or something. ..it CONTINUOUSLY trues to resend it just to fail. I have had to Uninstall app 3 times now due to this to stop that transaction from continuing. Other than that I'm happy with it! 
com.fsck.k9#52659:	   As of 11/18/14 it is no longer getting email please fix asap. Ok i uninstalled the app, reinstalled and readded my enail accounts and now it works 
com.fsck.k9#52662:	  didn't work with exchange 
com.fsck.k9#52663:	   I've used this app for several years, but due to the latest update it hasn't worked with Yahoo for over a month so I'm sorry to say that I'm deleting this app for another email client. 
com.fsck.k9#52665:	   Increasing number of error messages almost daily 
com.fsck.k9#52669:	   This was my favorite email app until the latest version. The latest version crashes frequently, so I found a different email app. Perhaps I will give K9 another chance. It was great when it worked. 
com.fsck.k9#52674:	   It crashes every time I use it. It makes my tablet overheat. Can never use it more then 5 minutes until it crashes 
com.fsck.k9#52679:	   Since updating to Android 5 (Lollipop), K9 will no longer send mail with my iCloud account. I get an "com.fsck.k9.mail.CertificateValidationException: Handshake failed" error in the log. My Gmail accounts work just fine***, but I'm fairly certain the problem is with K9 because the Gmail app sends mail on my iCloud account just fine. When it's working, this is a great app -- PLEASE FIX IT! ***EDIT: it's started giving me certificate errors on my Gmail accounts as well now. 
com.fsck.k9#52681:	   Cannot get it to work on Samsung Note. Default confirm are wrong and cannot be changed. Good luck to other users. 
com.fsck.k9#52683:	   I've tried other clients and al be it they look pretty but they all have one problem, they lack functionality, I have not come across another program yet where I can pull up the headers. Sure you get a senders name but that's it, where's the detail, where did this email originate from? And that's the problem with every other program I've tried. 
com.fsck.k9#52685:	   K-9 is the client from hell, i can't even add my very first, email address to the client without it crashing, it's the least stable client on planet neptune 
com.fsck.k9#52690:	  Doesn't work with exchange/outlook 
com.fsck.k9#52694:	   I've been using this app for a few years now with my pop mail account. ( My provider does not offer IMAP ) A few days ago it crashed, and when I restarted it all 900+ messages were gone. Not happy about the glaring lack of a backup procedure for messages! 
com.fsck.k9#52698:	   But now spins progress with nothing and hogs bandwidth. Not amused either. Can you roll back the version so we can have working email again? Thx 
com.fsck.k9#52699:	   not working in mly fone....... 
com.fsck.k9#52704:	   This is the best email app I could find. Not the prettiest but functional. Plus: quiet time is a function that more apps should have. This is the reason I don't use the all new gmail app. Niggles: emails are often displayed in miniature font which makes them impossible to read. On some accounts, such as yahoo, emails don't get deleted when I delete them with the app. 
com.fsck.k9#52711:	   It worked great for a long time, then it just stopped working. I really miss it. 
com.fsck.k9#52718:	   I also see a significant (56%) increase in battery usage on ver 5.000. The fact it is being reported in ver 5.001 suggests upgrading are not going to fix it. The issues expressed by others make me think updating should be avoided at this time. The reply button does not appear in landscape mode. 
com.fsck.k9#52719:	   Hi Team, Please release a working update asap. Since last update the mail is not working even with gmail. Please the apps 5 star status :-) 
com.fsck.k9#52720:	   Having problem with all the email you cannot reply. 
com.fsck.k9#52722:	   Gmail just had a terrible update. I find K-9 is a really good replacement. My only complaint is the group conversations isn't working. 
com.fsck.k9#52723:	   Doesn't appear to work at all, and that's just going to Gmail :-( Load 26 more just displays some error message which is gone too fast to read and returns you to the same empty screen. 
com.fsck.k9#52727:	   This app doesn't have the high security protocols to connect to Gmail. You have to set your Google Gmail account to a less secure setting to let this app connect. If you do that anyone and anything can try and access your account without you knowing it. So don't use this app. 
com.fsck.k9#52728:	   Since the last update, I've been getting certificate errors. It's not the host. Based on what I'm seeing here, other puerile are having the same problem. Unable to securely send or receive makes this app useless, sadly. 
com.fsck.k9#52737:	   Despite having it configured to store mail on the SD card for some reason it still hogs the internal storage, even for mail that isn't within the fetch window. I'm unsure why, and wish they would fix it. 
com.fsck.k9#52741:	   Each upgrade seems to make it slower and more bloated, frequent errors and freezing issues are a daily occurrence 
com.fsck.k9#52745:	   The latest updates fixed the freeze issue. Now it's just perfect. Love it. 
com.fsck.k9#52746:	   I cannot send email! It's there a problem with go daddy hosting? Last update prohibits sending mail. I have my own domain & Samsung GS5. Please fix 
com.fsck.k9#52749:	   Several years ago I tried numerous email apps. This was the best, now I can't send mail. Why fix what's not broken? Do the same idiots that own tune in own k9? 
com.fsck.k9#52753:	   Can't send email. Error logs, too many! This was the best until last update. Now I hate it. 
com.fsck.k9#52757:	   Wouldn't stop syncing drained my battery 
com.fsck.k9#52760:	   While it does not have features like rich text message composition / signatures or a flashy appearance (thanks!!) it does the job that a proper email application should. Not only that but the UI is very intelligently thought out especially when it comes to multiple select-deletes, or forwarding emails, and it also easily allows me to send a reply from any of my email accounts. It is also pretty lightweight and fast. After reading some of the reviews of problems after v.5.0x, I had to go and see what I had and I do have 5.001 which works just fine for me. I have maybe 7 accounts (2 of which are IMAP) and all get handled well. The 5th star will be given when it supports rich text composition (as an option) and when it looses the dumb dog icon - never did like that. Keep up the good work! 
com.fsck.k9#52761:	   Attachment to mail especially PDF throw up an error when attempted to open. Not a great assignment. 
com.fsck.k9#52762:	   Can no longer send or receive emails...authentication errors. Worked great before, now useless. 
com.fsck.k9#52767:	   Getting all kinds of exceptions and push errors showing up in "all messages" ever since update to 5.0 Update: Reverted to 4.803. Problems solved. 
com.fsck.k9#52769:	   Great app (normally) and I use it for years but sense last update I keep getting Errors sending emails from my ipage email accounts . This is normally a 5 star app but not anymore... waiting for a quick fix 
com.fsck.k9#52770:	   Overall good app. I have the folloeing issues though: I get 'connot send' send errors in a loop since I once had a send error, the msg ia in the notifications but it is too long to read and for some reason it is not in the app's 'error' folder. The other issue is that there is no way to select multiple emails, you eather select all or one. Implement it like in gmail's app pls. 
com.fsck.k9#52771:	   Never had a problem, works fine with latest update on Kitkat Galaxy S5. 
com.fsck.k9#52772:	   Ive used this email client for years..latest update is full of issues. Lost all emails. Seldom reveives them now. Very Upsetting 
com.fsck.k9#52773:	   Full IMAP access. Great. Problem? Select all then Mark as read and archiving only intermittently works in my 5 different IMAP accounts. 5 stars if this basic must works properly. 
com.fsck.k9#52774:	   Was a great app, used for over a year without a problem; latest update trashed everything - emails being deleted before read, each sync deleting the previous mails. Moved to blue mail. Times like this where I wouldn't have minded paying for the app to get better support. 
com.fsck.k9#52776:	   How can an open-source, community driven, email app NOT natively recognize the most widely used protocol on the Internet? I swear humans are getting dumber by the day. It won't get fixed either. This project is dead. 
com.fsck.k9#52779:	   Was my favorite email app, just upgraded to the Galaxy Note 4 and I am unable to upload AOL just get a server error message. Looked around for a replacement but could not find anything I like as much as this one. Please fix 
com.fsck.k9#52780:	  It's good, and free as in freedom, but it doesn't seem to manage connection errors and unstable signals very well: when it happens the checking mail notification doesn't go away 
com.fsck.k9#52784:	   I've been using this app for many years & since this last update, nothing but issues. I also just got a new phone & can't even set it without an error! 
com.fsck.k9#52786:	  Good app but too many problems with yahoo mail. Update : emails sent from k9 go to spam at the receiving end while emails sent from same account with different program go to inbox. Tested this with 2 other programs. Weird. 
com.fsck.k9#52788:	   I have loved the app till now. I get tons of errors that fill up the k9 error folder each day. Get this so it does not show up and you will get a 5 
com.fsck.k9#52791:	   This ap was absolutely perfect for me before the latest update. Now, it won't automatically download my emails and notify me, even having set it to do so for every 1 hour, and when I do download the emails I can't actually read any of them due to the constant 'connection error' that occurs! 
